"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0321543408360129,0.0416666666666667,311,10,0.0326797385620915,-3.17805383034795,1,0,0.967845659163987,0.0833333333333333,0.0904483228074393,0.157698067140732,0.128695382265198,0.0820700753519442,0.176455338895699,0.081685308108304,0.00290310542243193,0.187047992278148,0.166917030063072,0.0191485290129535,0.0108405337138633,0.170915053566177,0.0338072972748387,0.00474324196200591,0.0302739811198765,0.00902481172193878,0.0135534096509949,0.019054667894774,0.0028462405015851
"2",0.0618556701030928,0.125,291,18,0.0638297872340425,-2.07944154167984,2,10,0.907978917360029,0.0833333333333333,0.0904483228074393,0.122504388323427,0.10463213923241,0.149513961337652,0.165240115987721,0.158620751759307,0.199155730941502,0.155881763011706,0.156792046843789,0.187946057529992,0.212534374263637,0.159111133098801,0.112176266838347,0.160813608963572,0.152205045566846,0.144414872664181,0.142373892667108,0.142898064828337,0.18293419033849
"3",0.443159922928709,0.208333333333333,259.5,115,0.569306930693069,-1.56861591791385,3,18,0.505599050321866,0.0833333333333333,0.0904483228074393,0.108932081808788,0.0960732000519576,0.156409068948083,0.154737714951061,0.191601837171367,0.227142743907362,0.137235438975008,0.147225742109888,0.232352695202111,0.239387441874228,0.148088169253678,0.252049989583154,0.309640626759024,0.228199921575795,0.286835889354984,0.275171798829375,0.240028128808014,0.276931903275182
"4",0.139194139194139,0.291666666666667,136.5,19,0.149606299212598,-1.23214368129263,4,115,0.43522262573494,0.0833333333333333,0.0904483228074393,0.100824412650922,0.0912511809444635,0.151423413507109,0.144902829952353,0.200256379604812,0.202288380231275,0.12361210425898,0.138194269223269,0.220958398605861,0.210071839904972,0.137843733749506,0.297735865710278,0.244581284751178,0.240889507410987,0.300487503717169,0.308483423284008,0.288344971815165,0.255348060146681
"5",0.197424892703863,0.375,116.5,23,0.219047619047619,-0.980829253011726,5,19,0.349298845546926,0.0833333333333333,0.0904483228074393,0.0951649277039291,0.0880451685495536,0.14388879438943,0.13569303472551,0.19655153916149,0.175117792901518,0.112854786102782,0.129673876391223,0.195944653643228,0.176546684445106,0.128345266544245,0.244075991550107,0.205870810518912,0.227058050850748,0.260156104630099,0.272202372126845,0.260741127252552,0.215012617751173
"6",0.161290322580645,0.458333333333333,93,15,0.175438596491228,-0.780158557549575,6,23,0.292960322071615,0.0833333333333333,0.0904483228074393,0.0908748943788896,0.0857161615369724,0.136172799482647,0.127068599550975,0.187311408089691,0.152427180693006,0.103986955856692,0.121641056241527,0.1699308470405,0.148144611472358,0.119540096557554,0.195860403475662,0.180113592822358,0.204994746594527,0.214299894211138,0.224540128728422,0.219683179038338,0.178736711320874
"7",0.0769230769230769,0.541666666666667,78,6,0.08,-0.613104472886409,7,15,0.270424912681491,0.0833333333333333,0.0904483228074393,0.0874514209302337,0.0839272639182825,0.128938334554409,0.118992319867473,0.176077898575103,0.134211018092525,0.0964707636528037,0.114072671318533,0.146514532971706,0.125494392374517,0.111377884915542,0.157676903766079,0.156478758307652,0.181626767047371,0.175290153922517,0.18339991990287,0.183763189566986,0.149337771528122
"8",0.0833333333333333,0.625,72,6,0.0869565217391304,-0.470003629245736,8,6,0.247889503291367,0.0833333333333333,0.0904483228074393,0.084621570148188,0.0824992781176422,0.122343813297477,0.111429355776939,0.164572184915388,0.119553956511457,0.0899741015704421,0.10694605795901,0.12643458342303,0.107600704270685,0.103811411582562,0.127560488061775,0.135890155008749,0.159652412120347,0.144360445718535,0.150653951666403,0.154264376664471,0.126012507741898
"9",0.121212121212121,0.708333333333333,66,8,0.129032258064516,-0.344840486291729,9,6,0.217842290771201,0.0833333333333333,0.0904483228074393,0.0822216169517311,0.0813266904571469,0.116385399665332,0.104347081750255,0.153574715922547,0.107614137577043,0.0842757549698851,0.100239110882394,0.109517783145891,0.093377418844933,0.0967965188866595,0.10382443318485,0.118309865085958,0.139974901682703,0.120194529661439,0.125058933169688,0.130422493762226,0.107477932656173
"10",0.0695652173913043,0.791666666666667,57.5,4,0.0720720720720721,-0.233614851181505,10,8,0.202688044456683,0.0833333333333333,0.0904483228074393,0.0801460885414148,0.0803427010831487,0.111008607369737,0.0977149458854525,0.143397585866043,0.0977479326535909,0.0792201656397835,0.0939303506875069,0.0953383016181373,0.081943998345637,0.0902920209936405,0.0850880216528029,0.103401115840522,0.122745667812698,0.101244930501135,0.10500779806263,0.111155559948723,0.0926209682089982
"11",0.0380952380952381,0.875,52.5,2,0.0388349514563107,-0.133531392624523,11,4,0.194966595144047,0.0833333333333333,0.0904483228074393,0.0783232998591383,0.0795026497351535,0.106147379027131,0.0915043381112433,0.134126315544552,0.0894820219595473,0.0746933889677377,0.0879989762940728,0.0834449985941447,0.072637246015376,0.0842595891590038,0.0702518990675763,0.0907686769438332,0.107815861175028,0.0862377478084862,0.0891521385611676,0.0954962931749088,0.0805823714364872
"12",0.0606060606060606,0.958333333333333,49.5,3,0.0625,-0.0425596144187959,12,2,0.18315043786259,0.0833333333333333,0.0904483228074393,0.0767024510983845,0.0787753792115497,0.101737890854388,0.0856884667673267,0.125741215549658,0.0824690426987585,0.0706092588146805,0.0824249042083896,0.0734344918146963,0.0649671278179808,0.0786636206041598,0.0584548572437056,0.0800427925836256,0.09493331761056,0.0742122205404667,0.0764687604503356,0.0826689568601056,0.0707193808737923
"13",0.0652173913043478,1.04166666666667,46,3,0.0674157303370786,0.0408219945202552,13,3,0.171205844088943,0.0833333333333333,0.0904483228074393,0.0752463150775771,0.0781383960885475,0.0977229824317279,0.0802422430290556,0.118177663436755,0.0764515456549664,0.0669009252908716,0.0771887963329109,0.0649680533491817,0.0585715462063634,0.07347109721475,0.0490283958147792,0.070903777153533,0.0838275530039038,0.0644610346219511,0.0662029292363112,0.0720727704056651,0.0625534058054927
"14",0,1.125,43,0,0,0.117783035656383,14,3,0.171205844088943,0.0833333333333333,0.0904483228074393,0.0739268493875018,0.0775749984498098,0.0940530281217836,0.0751421726778891,0.111355641110977,0.071236081813062,0.0635154218370495,0.0722720778827297,0.0577687587789482,0.0531808695023639,0.0686514388993473,0.0414559493431228,0.0630843758253873,0.0742446235370074,0.0564644851736418,0.0577999684053034,0.0632468613571861,0.0557261331652859
"15",0.0465116279069767,1.20833333333333,43,2,0.0476190476190476,0.189241999638528,15,0,0.163242781573178,0.0833333333333333,0.0904483228074393,0.0727224384240509,0.0770724893229678,0.090685499197823,0.0703662547507448,0.105193814180222,0.0666751530564961,0.0604100367362087,0.0676569468206189,0.0516127087397682,0.0485921413632431,0.0641763553342418,0.0353389299299375,0.0563644467742978,0.0659594218523071,0.0498380747198498,0.050849726328631,0.0558373438990428,0.0499667401471352
"16",0.0975609756097561,1.29166666666667,41,4,0.102564102564103,0.255933374137201,16,2,0.147316656541648,0.0833333333333333,0.0904483228074393,0.071616091754855,0.0766210213222434,0.0875841114869508,0.0658938866310381,0.0996158459426602,0.062654680240762,0.0575498089315225,0.0633263760781952,0.0463194798258606,0.0446507731588262,0.0600196989162629,0.0303695749442385,0.0505636855542047,0.0587779773779269,0.0442943442212573,0.0450458388399157,0.0495709519610646,0.0450682830250433
"17",0,1.375,36.5,0,0,0.318453731118535,17,4,0.147316656541648,0.0833333333333333,0.0904483228074393,0.0705942282723547,0.0762128245121821,0.0847179129957728,0.0617057751719853,0.0945528386610984,0.0590852350275226,0.0549057512118044,0.0592641096951715,0.0417435699153798,0.0412376028705474,0.05615732101686,0.0263097439003901,0.045534551495868,0.0525355655113643,0.0396158494334027,0.040156807643013,0.0442350476474365,0.0408708506812912
"18",0.0555555555555556,1.45833333333333,36,2,0.0571428571428571,0.377294231141468,18,0,0.13913239784489,0.0833333333333333,0.0904483228074393,0.0696458324845025,0.0758416756434653,0.0820604437308376,0.0577838534687692,0.0899438828657437,0.0558958311263072,0.0524535592148411,0.0554546538822737,0.0377672821771701,0.0382597063519309,0.0525669330474791,0.0229745897824942,0.0411561081235054,0.0470933064816694,0.0356361406269346,0.0360056260440039,0.039662762348308,0.037249519130129
"19",0.0882352941176471,1.54166666666667,34,3,0.0923076923076923,0.432864082296279,19,2,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0687618547395793,0.075502524294962,0.0795890077408513,0.0541112029205348,0.0857357248559112,0.0530294680406083,0.0501726539328725,0.051883263896592,0.0342950027660003,0.035643817229417,0.0492279733833537,0.0202200830528586,0.0373289115072747,0.0423344669813385,0.0322263234398639,0.0324553832395925,0.0357220093170451,0.0341056762508958
"20",0,1.625,31,0,0,0.485507815781701,20,3,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0679347757605188,0.0751912238526947,0.0772840600665968,0.0506719802460011,0.0818820652394125,0.0504398882952968,0.0480454586796924,0.0485359275109752,0.0312486722394587,0.0333315660429933,0.0461214808285422,0.0179335171549586,0.0339708652959562,0.0381609825021545,0.0292854835833615,0.0293990122989565,0.0323073436951624,0.0313607139748948
"21",0,1.70833333333333,31,0,0,0.535518236356362,21,0,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0671582845298458,0.0749043342433597,0.0751286974133458,0.0474513491378459,0.0783427446336158,0.0480891857858332,0.0460568443735964,0.0453993457614089,0.0285642262811834,0.0312759975813292,0.043229975021287,0.0160262927002971,0.0310138965203531,0.0344903905278683,0.0267337935537748,0.0267519149565607,0.0293338995085504,0.0289513937584224
"22",0,1.79166666666667,31,0,0,0.583146285345617,22,0,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0664270360402959,0.0746389748376169,0.0731082374738938,0.04443541626103,0.0750829397087267,0.0459460190907441,0.0441936979072597,0.0424609115678213,0.0261888034350533,0.0294389948476029,0.0405373439602859,0.0144284308775424,0.0284013017128605,0.0312532138323644,0.0245074947169796,0.0244465973837849,0.0267328413978275,0.0268264050730269
"23",0,1.875,31,0,0,0.628608659422374,23,0,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0657364663875085,0.0743927131043151,0.0712098720256483,0.0416111713189667,0.0720724241318055,0.043984260470475,0.0424445820254809,0.0397086867440118,0.0240785522065949,0.0277893528278598,0.0380287386666145,0.0130843944350781,0.0260856299071486,0.0283907677197667,0.0225552033627662,0.022428724850204,0.0244479254954556,0.0249437829323755
"24",0,1.95833333333333,31,0,0,0.672093771362113,24,0,0.126856009799753,0.0833333333333333,0.0904483228074393,0.0650826497344604,0.0741634791788518,0.0694223806094556,0.0389664309289912,0.0692849140257819,0.0421819626453218,0.0407994642470232,0.0371313778408786,0.02219690401379,0.0263013229843822,0.0356904748724028,0.0119498962355827,0.0240269915550567,0.025853340627848,0.0208351613717409,0.0206541879880829,0.0224328775219324,0.0232689503566835
"25",0.032258064516129,2.04166666666667,31,1,0.0327868852459016,0.713766467762681,25,0,0.122763880451374,0.0833333333333333,0.0904483228074393,0.0644621863204675,0.0739494995066872,0.067735893651503,0.0364897860650164,0.066697500306246,0.0405205601697352,0.0392494985808085,0.0347183112032911,0.0205132077592678,0.0249535023796113,0.0335099415373233,0.0109894540536376,0.0221917039826248,0.0235986922464872,0.0193131681836575,0.0190868980910993,0.0206493774348305,0.0217732201563158
"26",0.0333333333333333,2.125,30,1,0.0338983050847458,0.75377180237638,26,1,0.118671751102994,0.0833333333333333,0.0904483228074393,0.063872113807496,0.0737492447252328,0.0661416958550795,0.0341705528406509,0.064290162278365,0.0389842459837182,0.0377868481023478,0.0324594075642241,0.0190016454618484,0.0237279777311371,0.0314755159304925,0.0101745101921669,0.020551202573132,0.0215908164401339,0.0179610094694986,0.0176971134713111,0.019065497810497,0.0204326377051122
"27",0.0344827586206897,2.20833333333333,29,1,0.0350877192982456,0.792238083204176,27,1,0.114579621754615,0.0833333333333333,0.0904483228074393,0.0633098363921985,0.0735613883097931,0.0646320624045192,0.0319987264204638,0.0620453536984296,0.0375594801869107,0.0364045395043189,0.0303451564495713,0.0176403669367873,0.0226096599299237,0.0295764849728121,0.00948197966399429,0.0190811620370057,0.0197989225853815,0.0167552517367071,0.0164601567265292,0.0176544843631019,0.0192270793138586
"28",0,2.29166666666667,28,0,0,0.829279354884525,28,1,0.114579621754615,0.0833333333333333,0.0904483228074393,0.0627730675989324,0.0733847734523046,0.06320012195631,0.0299649378605777,0.0599476517507773,0.0362345996282987,0.0350963429211501,0.0283665906228171,0.0164107958289161,0.0215857622178642,0.027802972508434,0.00889312455548567,0.0177607842026323,0.0181965959736242,0.015676309254136,0.0153554226684362,0.0163937965083117,0.0181395439755472
"29",0,2.375,28,0,0,0.864997437486605,29,0,0.114579621754615,0.0833333333333333,0.0904483228074393,0.0622597837202364,0.0732183863045456,0.0618397415612907,0.0280604136924043,0.0579834597978788,0.034999505098658,0.0338566719172291,0.0265152607599061,0.0152970702625143,0.0206453877099202,0.0261458721602046,0.00839267751654509,0.0165722182363625,0.0167611045883791,0.0147077155903746,0.0143656044623789,0.0152643471169345,0.0171555926971577
"30",0,2.45833333333333,28,0,0,0.899483613557774,30,0,0.114579621754615,0.0833333333333333,0.0904483228074393,0.0617681856250688,0.0730613341902487,0.0605454296038709,0.0262769380751751,0.0561407556648195,0.033845408793321,0.0326804996994621,0.0247832105106999,0.0142855897360052,0.0197792008637509,0.02459678541963,0.00796815624433028,0.0155000865810549,0.0154728254262864,0.0138355503061785,0.0134760850968656,0.0142498959970227,0.0162629014189064
"31",0.0357142857142857,2.54166666666667,28,1,0.0363636363636364,0.932820033825366,31,0,0.110487492406236,0.0833333333333333,0.0904483228074393,0.0612966672027801,0.0729128277320869,0.0593122535985885,0.0246068173539969,0.0544088782774714,0.0327646289784486,0.031563288487855,0.0231629520738447,0.0133646462710916,0.0189791639287674,0.0231479646247124,0.00760932497381273,0.0145310956351333,0.0143147684915437,0.0130479843232443,0.0126744552113216,0.0133365628812988,0.0154509020500104
"32",0,2.625,27,0,0,0.965080896043587,32,1,0.110487492406236,0.0833333333333333,0.0904483228074393,0.0608437891134929,0.0727721660893189,0.0581357702868734,0.0230428468705416,0.0527783465179781,0.0317504219198603,0.0305009296356278,0.0216474423862347,0.012524122702127,0.0182383240848937,0.021792260487034,0.00730776957871405,0.0136537146446596,0.013272180701721,0.0123349168179653,0.0119501282970841,0.0125124339632745,0.0147104923772647
"33",0,2.70833333333333,27,0,0,0.996333439547691,33,0,0.110487492406236,0.0833333333333333,0.0904483228074393,0.0604082568150032,0.072638724686598,0.057011965958059,0.021578279883196,0.0512407051158489,0.0307968434464116,0.0294896925911492,0.020230060006119,0.0117552447274881,0.0175506404164489,0.0205230738412264,0.00705656083242691,0.0128579097399686,0.0123322153008349,0.0116876832530602,0.0112940315242244,0.0117672421516385,0.0140338001900872
"34",0,2.79166666666667,26.5,0,0,1.02663878904302,34,0,0.110487492406236,0.0833333333333333,0.0904483228074393,0.0599889020612873,0.0725119449525426,0.0559372053033816,0.020206798462598,0.0497883932304084,0.0298986342470809,0.0285261811787852,0.0189045827498736,0.0110503762169953,0.0169108424107388,0.019334311304252,0.00684998635654227,0.012134922743176,0.0114836550992531,0.0110988191109423,0.0106983557403296,0.0110921057861792,0.0134139903736939
"35",0,2.875,26,0,0,1.05605267424931,35,0,0.110487492406236,0.0833333333333333,0.0904483228074393,0.0595846672383736,0.0723913256908495,0.0549081874199719,0.0189224862370066,0.0484146320973988,0.029051124301942,0.0276072959740575,0.0176651661261824,0.0104028494864111,0.0163143135708978,0.0182203445478708,0.006683336295597,0.0114770864783742,0.0107166800597901,0.0105618675483107,0.0101563520931043,0.0104793139978579,0.0128451062744753
"36",0.0816326530612245,2.95833333333333,24.5,2,0.0851063829787234,1.08462604669337,36,0,0.101468105271033,0.0833333333333333,0.0904483228074393,0.0591945920339812,0.072276415786097,0.0539219078295517,0.0177198028699331,0.0471133287174547,0.0282501528353053,0.0267302017816414,0.0165063225975224,0.00980682396850363,0.0157569951626589,0.017175972904513,0.00655273117162022,0.0108776699671422,0.0100226715224135,0.0100712219133004,0.00966216563467716,0.00992214950020892,0.0123219385681151
"37",0,3.04166666666667,21,0,0,1.11240561080045,37,2,0.101468105271033,0.0833333333333333,0.0904483228074393,0.0588178020381919,0.072166808007339,0.0529756255762559,0.0165935601599338,0.0458789930698355,0.0274920009356464,0.0258922994083422,0.0154229016871353,0.00925716804810244,0.015235306199402,0.0161963890440389,0.00645498296595151,0.010330748191214,0.00939404678836356,0.0096219961094015,0.00921069844507562,0.00941474158500292,0.0118399163257974
"38",0,3.125,21,0,0,1.13943428318836,38,0,0.101468105271033,0.0833333333333333,0.0904483228074393,0.0584534989509048,0.0720621337197786,0.0520668346295664,0.0155388996594624,0.0447066667551531,0.0267733345701824,0.0250912010688319,0.0144100709398191,0.0087493598749457,0.0147460765984611,0.0152771474760965,0.00638748245266743,0.00983109213047065,0.0088241189358156,0.00920991733535981,0.00879749645962645,0.00895194361909383,0.0113950160955089
